Date,Value,predicted_value,PCT
2017-05-25,2387.206286,2255.182422520793,-0.05041738225106661
2017-05-26,2211.976857,2387.206283074978,-1.2252909560213462e-07
2017-05-27,2279.82,2211.976856866688,-6.026822295838887e-09
2017-05-28,2192.9808,2278.536985252718,-0.05627701955778626
2017-05-29,2275.9307,2192.980797600969,-1.0939589704959176e-07
2017-05-30,2290.02,2274.6061515822216,-0.05819809969513835
2017-05-31,2285.933914,2290.019995246343,-2.0758145637379873e-07
2017-06-01,2399.242671,2285.9339123812338,-7.081422646443578e-08
2017-06-02,2409.93,2398.0103473187132,-0.05136302784966363
2017-06-03,2525.765158,2408.7276554107257,-0.04989126610624218
2017-06-04,2516.173143,2525.76515366225,-1.7174003404917367e-07
2017-06-05,2529.53,2515.0259856475122,-0.04559135191785721
2017-06-06,2883.313697,2528.409671381956,-0.044289991344019175
2017-06-07,2664.920863,2883.3136917478946,-1.8215518637540462e-07
2017-06-08,2683.03,2663.439725868187,-0.05557902872002956
2017-06-09,2827.4913,2681.578466804003,-0.05410052053079537
2017-06-10,2845.372857,2826.1134558935737,-0.048730268645793426
2017-06-11,2898.63,2844.022940329884,-0.04744252292963436
2017-06-12,2657.675063,2897.3320492521525,-0.04477807612036058
2017-06-13,2748.185086,2655.999266589563,-0.06305497740365466
2017-06-14,2706.0,2746.5865646646744,-0.05816643658641796
2017-06-15,2442.48025,2704.359674434856,-0.06061809183828305
2017-06-16,2464.959814,2440.3239957606643,-0.08828133776458558
2017-06-17,2477.94,2462.833246957783,-0.08627187470313545
2017-06-18,2507.389252,2475.8703236394063,-0.08352407082470936
2017-06-19,2617.210263,2505.3469701120152,-0.08145053211645098
2017-06-20,2600.0,2615.2780788729347,-0.0738260946925411
2017-06-21,2671.04325,2599.9999999556517,-1.7057048423269476e-09
2017-06-22,2727.288013,2669.161887073641,-0.07043550965934708
2017-06-23,2713.48,2727.28801105781,-7.121323458826673e-08
2017-06-24,2589.164888,2711.696888961431,-0.0657130709851973
2017-06-25,2512.366286,2587.170514682995,-0.0770276673474196
2017-06-26,2502.03,2510.292530896403,-0.08254190940041915
2017-06-27,2517.903114,2499.963608630354,-0.08258859284845609
2017-06-28,2585.349186,2515.863026725402,-0.08102326349472619
2017-06-29,2558.3,2583.363686561511,-0.07679811490226737
2017-06-30,2477.641375,2556.3167616141163,-0.0775217287215671
2017-07-01,2501.191343,2475.5458428206935,-0.0845777036358501
2017-07-02,2421.26,2499.1344739433957,-0.08223557395401668
2017-07-03,2561.225429,2419.1110474151897,-0.08875348309601441
2017-07-04,2599.729838,2559.206242404949,-0.0788367385466481
2017-07-05,2598.89,2597.7498592046327,-0.07616094435761578
2017-07-06,2609.96775,2596.906170532357,-0.07633372199834788
2017-07-07,2491.201214,2608.0403199960115,-0.07384880537272233
