Date,USD (PM),predicted_value,PCT
2020-08-15,1944.75,1944.3525776221109,-0.020435653831553813
2020-08-16,1944.75,1944.3529878005456,-0.02041456225501304
2020-08-17,1972.85,1944.3553511493838,-0.02029303769719756
2020-08-18,2008.75,1972.4726916856596,-0.019125038109350713
2020-08-19,1981.0,2008.395226408508,-0.017661410901901608
2020-08-20,1927.15,1980.6244506764556,-0.018957563025967652
2020-08-21,1924.35,1926.7171293484023,-0.022461700002480118
2020-08-22,1924.35,1923.9164176646009,-0.022531365676671272
2020-08-23,1924.35,1923.9178626714836,-0.02245627502877954
2020-08-24,1943.95,1923.9194971759148,-0.02237133702731438
2020-08-25,1911.15,1943.5305796779398,-0.02157567437743794
2020-08-26,1932.95,1910.7050825893623,-0.023280088461805695
2020-08-27,1923.85,1932.5213321292058,-0.022176873214218826
2020-08-28,1957.35,1923.4156370204687,-0.022577798660561657
2020-08-29,1957.35,1956.9376436917144,-0.021067070696888783
2020-08-30,1957.35,1956.9378705847214,-0.02105547885041071
2020-08-31,1957.35,1957.3499991259243,-4.465606904645356e-08
2020-09-01,1972.35,1956.940711756326,-0.020910324861364977
2020-09-02,1947.05,1971.953065983183,-0.020124927970029943
2020-09-03,1940.45,1946.6334974288477,-0.021391467664017377
2020-09-04,1926.3,1940.028222465274,-0.021736068165944047
2020-09-05,1926.3,1925.8717229362205,-0.022233144566237494
2020-09-06,1926.3,1925.8703508732958,-0.02230437246037142
2020-09-07,1928.45,1925.871678625175,-0.022235444885268036
2020-09-08,1910.95,1928.023702827618,-0.02210568966693275
2020-09-09,1947.2,1910.5116424985422,-0.022939244954491653
2020-09-10,1966.25,1946.7813551123572,-0.02149984016242877
2020-09-11,1947.4,1965.8454878193108,-0.020572774605932764
2020-09-12,1947.4,1946.981031809122,-0.021514233895352983
2020-09-13,1947.4,1946.983989675344,-0.0213623459307846
2020-09-14,1958.7,1946.9842223785931,-0.021350396498252024
2020-09-15,1949.35,1958.2925101531707,-0.020804096943346163
2020-09-16,1961.8,1948.9371064223055,-0.021181089988682192
2020-09-17,1936.25,1961.3971741736932,-0.02053348079859072
2020-09-18,1950.85,1935.8276165388652,-0.02181451058152686
2020-09-19,1950.85,1950.4366165768827,-0.021189913274584856
2020-09-20,1950.85,1950.8672401537258,0.0008837252339174863
2020-09-21,1909.35,1950.4422109549441,-0.020903147092589325
2020-09-22,1906.0,1908.9074406092138,-0.023178536715954278
2020-09-23,1873.4,1905.55594856775,-0.023297556781219038
2020-09-24,1861.75,1872.9356486430258,-0.024786556900515004
2020-09-25,1859.7,1861.2806947471233,-0.025207748240991847
2020-09-26,1859.7,1859.23318375142,-0.025101696433834312
2020-09-27,1859.7,1859.234790928995,-0.02501527509840941
2020-09-28,1864.3,1859.2350143127303,-0.025003263282773865
2020-09-29,1883.95,1863.8382355444933,-0.024768784825762044
2020-09-30,1886.9,1883.4976415477104,-0.024011170800163094
2020-10-01,1902.0,1886.4492544059194,-0.023888154861448522
2020-10-02,1903.05,1901.5572073933533,-0.023280368383105286
2020-10-03,1903.05,1902.6085776689158,-0.02319551935493764
2020-10-04,1903.05,1902.6100637728036,-0.023117428716865705
2020-10-05,1909.6,1902.6089199414714,-0.023177533881324267
2020-10-06,1913.4,1909.166176821944,-0.022718013094676654
2020-10-07,1884.5,1912.969659257848,-0.022490892764299754
2020-10-08,1887.45,1884.0534133088017,-0.023697887566901724
2020-10-09,1923.25,1887.0060552439554,-0.023520875045412046
2020-10-10,1923.25,1922.816622663012,-0.022533593499965546
2020-10-11,1923.25,1922.8209327123081,-0.022309491105776715
2020-10-12,1925.5,1922.8201059983924,-0.022352476360724596
2020-10-13,1891.3,1925.0756916641444,-0.022036267767103872
2020-10-14,1910.05,1890.853961308536,-0.02358370916638581
2020-10-15,1891.9,1909.614041251829,-0.022824467850111805
2020-10-16,1905.05,1891.4560400206094,-0.023466355483412634
2020-10-17,1905.05,1904.609845058596,-0.023104639846932583
2020-10-18,1905.05,1904.6099915297657,-0.0230969512734186
2020-10-19,1905.6,1904.6109827517973,-0.023044919986489453
2020-10-20,1898.4,1905.1633289499887,-0.02291514746070674
2020-10-21,1924.15,1897.9602807374838,-0.023162624447760828
2020-10-22,1900.95,1923.7215250410356,-0.022268272170280042
2020-10-23,1903.65,1900.5101642844734,-0.02313767934594121
2020-10-24,1903.65,1903.2108629986596,-0.02306815860796056
2020-10-25,1903.65,1903.2127212569646,-0.02297054306387462
2020-10-26,1898.45,1903.212582546606,-0.022977829611226783
2020-10-27,1905.7,1898.0136538276802,-0.02298433839816021
2020-10-28,1869.95,1905.269678303399,-0.02258076804329855
2020-10-29,1870.3,1869.501517602092,-0.023983657205167916
2020-10-30,1881.85,1869.8522974648463,-0.023937471804184717
2020-10-31,1881.85,1881.4081449558691,-0.023479822734583607
2020-11-01,1881.85,1881.4066924071658,-0.02355701000792395
2020-11-02,1889.9,1881.4085386336299,-0.02345890301405794
2020-11-03,1908.3,1889.4644139913837,-0.02304809823886888
2020-11-04,1900.15,1907.8718046096674,-0.022438578333206293
2020-11-05,1938.45,1899.7177318823065,-0.0227491575766986
2020-11-06,1940.8,1938.0290484311163,-0.02171588479887361
2020-11-07,1940.8,1940.3805837197538,-0.02161048434904143
2020-11-08,1940.8,1940.3816626787716,-0.021554890829985785
2020-11-09,1867.3,1940.3821420813679,-0.021530189542048658
2020-11-10,1878.7,1866.8371179843932,-0.02478884033667529
2020-11-11,1860.95,1878.2408206081263,-0.0244413366622507
2020-11-12,1874.85,1860.4865103366285,-0.024906078259574253
2020-11-13,1890.9,1874.389356886053,-0.02456959831169662
2020-11-14,1890.9,1890.4414613864283,-0.024249754803100012
2020-11-15,1890.9,1890.4457503239328,-0.024022934902285697
2020-11-16,1885.6,1890.4455700143953,-0.02403247054866716
2020-11-17,1889.05,1885.1463172384997,-0.024060392527588244
2020-11-18,1876.1,1888.597287065535,-0.023965111271003856
2020-11-19,1857.35,1875.646135560601,-0.024191910846917145
2020-11-20,1875.7,1856.899432698095,-0.024258610488320013
2020-11-21,1875.7,1875.2434567019723,-0.02433988900292061
2020-11-22,1875.7,1875.2458375714773,-0.02421295668405128
2020-11-23,1840.2,1875.248605077454,-0.024065411448851878
2020-11-24,1799.6,1839.7427855977132,-0.024845908177742026
2020-11-25,1810.2,1799.1456693862542,-0.02524619991918741
2020-11-26,1807.4,1809.7433762425476,-0.025225044605704457
2020-11-27,1779.3,1806.9445966463597,-0.025196600289938555
2020-11-28,1779.3,1778.8535123892752,-0.025093441843686642
2020-11-29,1779.3,1778.855560347369,-0.02497834275450965
2020-11-30,1762.55,1778.8565525739934,-0.02492257775566315
2020-12-01,1810.75,1762.114686014881,-0.024697965170855287
2020-12-02,1822.6,1810.2866748000627,-0.02558747479979811
2020-12-03,1832.35,1822.1332331863966,-0.02560994258769185
2020-12-04,1843.0,1831.8818479472252,-0.025549270214462984
2020-12-05,1843.0,1842.5308675103797,-0.025454828519819787
2020-12-06,1843.0,1842.531870875584,-0.025400386566251182
2020-12-07,1859.95,1842.5336271667682,-0.02530509133108216
2020-12-08,1868.15,1859.4840087959,-0.025053964036665734
2020-12-09,1841.75,1867.6843108138135,-0.02492782625520633
2020-12-10,1844.35,1841.2815328438242,-0.025435979702774416
2020-12-11,1842.0,1843.8846546372176,-0.025230859803305923
2020-12-12,1842.0,1841.5354753083743,-0.02521849574515113
2020-12-13,1842.0,1841.5375269589458,-0.025107114063744926
2020-12-14,1831.15,1841.53884374859,-0.02503562711238341
2020-12-15,1850.65,1830.69032362018,-0.02510315265380588
2020-12-16,1851.95,1850.1874556506746,-0.024993615720180808
2020-12-17,1890.75,1851.4870892831411,-0.02499585393012308
2020-12-18,1879.75,1890.2856648454406,-0.02455825225753915
2020-12-19,1879.75,1879.2849885193743,-0.024737942844828432
2020-12-20,1879.75,1879.2855341892655,-0.024708913990398162
2020-12-21,1880.0,1879.288917272191,-0.02452893883809395
2020-12-22,1877.1,1879.5388879609193,-0.02452723612131475
2020-12-23,1875.0,1876.6399681583143,-0.024507583063532956
2020-12-24,1875.0,1874.5418666037351,-0.024433781134127155
2020-12-25,1875.0,1874.54076578986,-0.02449249120746875
2020-12-26,1875.0,1874.5431961486863,-0.024362872070062925
2020-12-27,1875.0,1874.5450047313918,-0.024266414325769196
2020-12-28,1875.0,1874.5455607583028,-0.02423675955718257
2020-12-29,1874.3,1874.542189898005,-0.02441653877306332
2020-12-30,1887.6,1873.8489654713817,-0.024064158812264074
2020-12-31,1887.6,1887.1485407043613,-0.023917106147416947
2021-01-01,1887.6,1887.149739424001,-0.023853601186638162
2021-01-02,1887.6,1887.149506891289,-0.023865920147849978
2021-01-03,1887.6,1887.1513834354294,-0.023766505857732406
2021-01-04,1943.2,1887.1502473043715,-0.02382669504282562
2021-01-05,1940.35,1942.754683982053,-0.022916633282580638
2021-01-06,1931.95,1939.908492586437,-0.02275400899646616
2021-01-07,1920.1,1931.5034716571326,-0.0231128312258286
